ISBN,AUTHOR,TITLE,ED,YEAR,DIS,CURR,PRICE,STREAM,SUBJECT,LEVEL
9789352702428,HIRALAL KONAR,DC DUTTA'S TEXTBOOK OF OBSTETRICS,9/E,2018,30.00%,INR,1395,MEDICAL,OBSTETRICS AND GYNECOLOGY,UG CLINICAL
9788194709015,APURBA SANKAR SASTRY,ESSENTIALS OF MEDICAL MICROBIOLOGY,3/E,2021,30.00%,INR,1395,MEDICAL,MICROBIOLOGY,UG BASIC
9789352704996,KD TRIPATHI,ESSENTIALS OF MEDICAL PHARMACOLOGY,8/E,2019,30.00%,INR,1695,MEDICAL,PHARMACOLOGY,UG BASIC
9789354657078,AK KHURANA,COMPREHENSIVE OPHTHALMOLOGY,8/E,2022,30.00%,INR,1495,MEDICAL,OPHTHALMOLOGY,UG CLINICAL
9789354654930,R SREEVANI,APPLIED PSYCHOLOGY FOR NURSES,4/E,2022,37.50%,INR,595,NURSING,PSYCHOLOGY,NURSING BASIC
9789352706921,K SEMBULINGAM,ESSENTIALS OF MEDICAL PHYSIOLOGY (FREE REVIEW OF MEDICAL PHYSIOLOGY 3/E),8/E,2019,30.00%,INR,1995,MEDICAL,PHYSIOLOGY,UG BASIC
9789389034981,DM VASUDEVAN,TEXTBOOK OF BIOCHEMISTRY FOR MEDICAL STUDENTS,9/E,2019,30.00%,INR,1695,MEDICAL,BIOCHEMISTRY,UG BASIC
9789354653766,MAHESHWARI,ESSENTIAL ORTHOPAEDICS,7/E,2022,30.00%,INR,895,MEDICAL,ORTHOPEDICS,UG CLINICAL
9789389587883,HIRALAL KONAR,DC DUTTA'S TEXTBOOK OF GYNECOLOGY,8/E,2020,30.00%,INR,1195,MEDICAL,OBSTETRICS AND GYNECOLOGY,UG CLINICAL
9789390281404,V SUBHADRA DEVI,INDERBIR SINGH’S HUMAN EMBRYOLOGY,12/E,2021,30.00%,INR,950,MEDICAL,EMBRYOLOGY,UG BASIC
9789389034974,K PUSHPALATHA,INDERBIR SINGH'S TEXTBOOK OF HUMAN HISTOLOGY WITH COLOUR ATLAS AND PRACTICAL GUIDE,9/E,2019,30.00%,INR,950,MEDICAL,ANATOMY,UG BASIC
9789352705474,HARSH MOHAN,TEXTBOOK OF PATHOLOGY FREE PATHOLOGY QUICK REVIEW,"8/E, R.P.",2021,30.00%,INR,2595,MEDICAL,PATHOLOGY,UG BASIC
9789352709076,SRIRAM BHAT M,SRB'S MANUAL OF SURGERY,6/E,2019,30.00%,INR,1695,MEDICAL,SURGERY,UG CLINICAL
9789352500475,R SREEVANI,A GUIDE TO MENTAL HEALTH & PSYCHIATRIC NURSING,4/E R.P.,2018,37.50%,INR,750,NURSING,MENTAL HEALTH (PSYCHIATRIC) NURSING,NURSING CLINICAL
9789352701186,PARUL DATTA,PEDIATRIC NURSING (AS PER INC SYLLABUS),4/E,2018,37.50%,INR,750,NURSING,CHILD HEALTH (PEDIATRIC) NURSING,NURSING CLINICAL
